result|job_completion_time|descr|env_vars|environ|exclusive_access|extra_resources|job_completion_time_unix|job_exitcode|job_nodelist|job_submit_time|jobid|modules|name|num_cpus_per_task|num_gpus_per_node|num_tasks|num_tasks_per_core|num_tasks_per_node|num_tasks_per_socket|partition|latency_value|latency_unit|latency_ref|latency_lower_thres|latency_upper_thres|short_name|system|unique_name|use_multithreading|variant
pass|2025-05-13T01:02:44|OSU Latency test with 8192-byte messages [default]|{}|foss-2023b|false|{}|1747090964.0|0|aion-0013|1747090956.1351416|7930387||OSULatencyTest %variant=default|1|null|2|null|2|null|batch|2.23|us|0|None|None|OSULatencyTest_b51639f0|aion|OSULatencyTest_0|null|default
pass|2025-05-13T01:02:46|OSU Latency test with 8192-byte messages [inter_node]|{}|foss-2023b|false|{}|1747090966.0|0|aion-0013,aion-0017|1747090952.115393|7930385||OSULatencyTest %variant=inter_node|1|null|2|null|1|null|batch|4.2|us|0|None|None|OSULatencyTest_e5e4cb74|aion|OSULatencyTest_4|null|inter_node
pass|2025-05-13T01:42:52|OSU Latency test with 8192-byte messages [inter_node]|{}|foss-2023b|false|{}|1747093372.0|0|aion-0002,aion-0013|1747093362.1342168|7931233||OSULatencyTest %variant=inter_node|1|null|2|null|1|null|batch|4.18|us|0|None|None|OSULatencyTest_e5e4cb74|aion|OSULatencyTest_4|null|inter_node
pass|2025-05-13T01:42:54|OSU Latency test with 8192-byte messages [default]|{}|foss-2023b|false|{}|1747093374.0|0|aion-0002|1747093368.0625217|7931236||OSULatencyTest %variant=default|1|null|2|null|2|null|batch|3.99|us|0|None|None|OSULatencyTest_b51639f0|aion|OSULatencyTest_0|null|default
pass|2025-05-13T02:05:31|OSU Latency test (8192B) [inter_node]|{}|foss-2023b|false|{}|1747094731.0|0|aion-0229,aion-0231|1747094443.3851|7931633||OSULatencyTest %variant=inter_node|1|null|2|null|1|null|batch|4.0|us|0|None|None|OSULatencyTest_e5e4cb74|aion|OSULatencyTest_4|null|inter_node
pass|2025-05-13T02:05:35|OSU Latency test (8192B) [diff_socket_same_node]|{}|foss-2023b|false|{}|1747094735.0|0|aion-0232|1747094445.367277|7931635||OSULatencyTest %variant=diff_socket_same_node|1|null|2|null|2|null|batch|2.29|us|0|None|None|OSULatencyTest_cab6c957|aion|OSULatencyTest_3|null|diff_socket_same_node
fail|2025-05-13T02:05:42|OSU Latency test (8192B) [diff_numa_same_socket]|{}|foss-2023b|false|{}|1747094742.0|1|aion-0229|1747094447.4102936|7931637||OSULatencyTest %variant=diff_numa_same_socket|1|null|2|null|2|null|batch|None|us|0|None|None|OSULatencyTest_362b6d20|aion|OSULatencyTest_2|null|diff_numa_same_socket
pass|2025-05-13T02:06:51|OSU Latency test (8192B) [same_numa]|{}|foss-2023b|false|{}|1747094811.0|0|aion-0231|1747094449.4171126|7931639||OSULatencyTest %variant=same_numa|1|null|2|null|2|null|batch|0.59|us|0|None|None|OSULatencyTest_f802e61c|aion|OSULatencyTest_1|null|same_numa
pass|2025-05-13T02:06:53|OSU Latency test (8192B) [default]|{}|foss-2023b|false|{}|1747094813.0|0|aion-0232|1747094451.439927|7931641||OSULatencyTest %variant=default|1|null|2|null|2|null|batch|2.28|us|0|None|None|OSULatencyTest_b51639f0|aion|OSULatencyTest_0|null|default
pass|2025-05-13T23:33:51|OSU Latency test (8192B) [diff_socket_same_node]|{}|foss-2023b|false|{}|1747172031.0|0|aion-0077|1747171974.0665953|7956858||OSULatencyTest %variant=diff_socket_same_node|1|null|2|null|2|null|batch|2.29|us|0|None|None|OSULatencyTest_cab6c957|aion|OSULatencyTest_3|null|diff_socket_same_node
fail|2025-05-13T23:35:27|OSU Latency test (8192B) [diff_numa_same_socket]|{}|foss-2023b|false|{}|1747172127.0|1|aion-0077|1747171976.2275813|7956861||OSULatencyTest %variant=diff_numa_same_socket|1|null|2|null|2|null|batch|None|us|0|None|None|OSULatencyTest_362b6d20|aion|OSULatencyTest_2|null|diff_numa_same_socket
pass|2025-05-13T23:37:40|OSU Latency test (8192B) [same_numa]|{}|foss-2023b|false|{}|1747172260.0|0|aion-0077|1747171978.4337513|7956863||OSULatencyTest %variant=same_numa|1|null|2|null|2|null|batch|0.59|us|0|None|None|OSULatencyTest_f802e61c|aion|OSULatencyTest_1|null|same_numa
pass|2025-05-13T23:39:48|OSU Latency test (8192B) [default]|{}|foss-2023b|false|{}|1747172388.0|0|aion-0077|1747171980.4458659|7956865||OSULatencyTest %variant=default|1|null|2|null|2|null|batch|2.29|us|0|None|None|OSULatencyTest_b51639f0|aion|OSULatencyTest_0|null|default
