result|job_completion_time|descr|env_vars|environ|exclusive_access|extra_resources|job_completion_time_unix|job_exitcode|job_nodelist|job_submit_time|jobid|modules|name|num_cpus_per_task|num_gpus_per_node|num_tasks|num_tasks_per_core|num_tasks_per_node|num_tasks_per_socket|partition|bandwidth_value|bandwidth_unit|bandwidth_ref|bandwidth_lower_thres|bandwidth_upper_thres|short_name|system|unique_name|use_multithreading|variant
pass|2025-05-14T01:05:39|OSU Bandwidth test (1MB, Src) [inter_node]|{}|foss-2023b|false|{}|1747177539.0|0|iris-139,iris-142|1747177534.4105465|4126659||OSUBandwidthTest %variant=inter_node|1|null|2|null|1|null|batch|10049.5|MB/s|0|None|None|OSUBandwidthTest_5716a367|iris|OSUBandwidthTest_4|null|inter_node
pass|2025-05-14T01:05:40|OSU Bandwidth test (1MB, Src) [diff_socket_same_node]|{}|foss-2023b|false|{}|1747177540.0|0|iris-135|1747177536.9651313|4126660||OSUBandwidthTest %variant=diff_socket_same_node|1|null|2|null|2|null|batch|17669.47|MB/s|0|None|None|OSUBandwidthTest_e306891b|iris|OSUBandwidthTest_3|null|diff_socket_same_node
pass|2025-05-14T01:05:42|OSU Bandwidth test (1MB, Src) [diff_numa_same_socket]|{"OMPI_MCA_rmaps_base_mapping_policy": "numa:PE=1", "OMPI_MCA_hwloc_base_binding_policy": "numa"}|foss-2023b|false|{}|1747177542.0|0|iris-139|1747177538.8387396|4126661||OSUBandwidthTest %variant=diff_numa_same_socket|1|null|2|null|2|null|batch|18381.36|MB/s|0|None|None|OSUBandwidthTest_7b6f5ad4|iris|OSUBandwidthTest_2|null|diff_numa_same_socket
pass|2025-05-14T01:05:47|OSU Bandwidth test (1MB, Src) [default]|{}|foss-2023b|false|{}|1747177547.0|0|iris-135|1747177543.5616925|4126663||OSUBandwidthTest %variant=default|1|null|2|null|2|null|batch|16818.75|MB/s|0|None|None|OSUBandwidthTest_f8f89a24|iris|OSUBandwidthTest_0|null|default
pass|2025-05-14T01:15:59|OSU Bandwidth test (1MB, Src) [inter_node]|{}|foss-2023b|false|{}|1747178159.0|0|iris-139,iris-142|1747178154.9856298|4126672||OSUBandwidthTest %variant=inter_node|1|null|2|null|1|null|batch|10046.34|MB/s|0|None|None|OSUBandwidthTest_5716a367|iris|OSUBandwidthTest_4|null|inter_node
pass|2025-05-14T01:16:01|OSU Bandwidth test (1MB, Src) [diff_socket_same_node]|{}|foss-2023b|false|{}|1747178161.0|0|iris-135|1747178157.728478|4126673||OSUBandwidthTest %variant=diff_socket_same_node|1|null|2|null|2|null|batch|17033.87|MB/s|0|None|None|OSUBandwidthTest_e306891b|iris|OSUBandwidthTest_3|null|diff_socket_same_node
pass|2025-05-14T01:16:05|OSU Bandwidth test (1MB, Src) [diff_numa_same_socket]|{"OMPI_MCA_rmaps_base_mapping_policy": "numa:PE=1", "OMPI_MCA_hwloc_base_binding_policy": "numa"}|foss-2023b|false|{}|1747178165.0|0|iris-135|1747178159.60346|4126674||OSUBandwidthTest %variant=diff_numa_same_socket|1|null|2|null|2|null|batch|17142.75|MB/s|0|None|None|OSUBandwidthTest_7b6f5ad4|iris|OSUBandwidthTest_2|null|diff_numa_same_socket
pass|2025-05-14T01:16:12|OSU Bandwidth test (1MB, Src) [default]|{}|foss-2023b|false|{}|1747178172.0|0|iris-142|1747178164.6028354|4126676||OSUBandwidthTest %variant=default|1|null|2|null|2|null|batch|5108.2|MB/s|0|None|None|OSUBandwidthTest_f8f89a24|iris|OSUBandwidthTest_0|null|default
pass|2025-05-14T01:16:15|OSU Bandwidth test (1MB, Src) [same_numa]|{}|foss-2023b|false|{}|1747178175.0|0|iris-139|1747178162.715506|4126675||OSUBandwidthTest %variant=same_numa|1|null|2|null|2|null|batch|17842.4|MB/s|0|None|None|OSUBandwidthTest_fb083019|iris|OSUBandwidthTest_1|null|same_numa
pass|2025-05-14T01:22:25|OSU Bandwidth test (1MB, Src) [inter_node]|{}|foss-2023b|false|{}|1747178545.0|0|iris-135,iris-144|1747178538.5799606|4126683||OSUBandwidthTest %variant=inter_node|1|null|2|null|1|null|batch|12108.92|MB/s|0|None|None|OSUBandwidthTest_5716a367|iris|OSUBandwidthTest_4|null|inter_node
pass|2025-05-14T01:22:28|OSU Bandwidth test (1MB, Src) [diff_numa_same_socket]|{"OMPI_MCA_rmaps_base_mapping_policy": "numa:PE=1", "OMPI_MCA_hwloc_base_binding_policy": "numa"}|foss-2023b|false|{}|1747178548.0|0|iris-148|1747178542.9596546|4126685||OSUBandwidthTest %variant=diff_numa_same_socket|1|null|2|null|2|null|batch|18770.7|MB/s|0|None|None|OSUBandwidthTest_7b6f5ad4|iris|OSUBandwidthTest_2|null|diff_numa_same_socket
pass|2025-05-14T01:22:29|OSU Bandwidth test (1MB, Src) [same_numa]|{}|foss-2023b|false|{}|1747178549.0|0|iris-135|1747178545.5222108|4126686||OSUBandwidthTest %variant=same_numa|1|null|2|null|2|null|batch|17578.5|MB/s|0|None|None|OSUBandwidthTest_fb083019|iris|OSUBandwidthTest_1|null|same_numa
pass|2025-05-14T01:22:31|OSU Bandwidth test (1MB, Src) [diff_socket_same_node]|{}|foss-2023b|false|{}|1747178551.0|0|iris-147|1747178541.0883057|4126684||OSUBandwidthTest %variant=diff_socket_same_node|1|null|2|null|2|null|batch|5405.19|MB/s|0|None|None|OSUBandwidthTest_e306891b|iris|OSUBandwidthTest_3|null|diff_socket_same_node
pass|2025-05-14T01:22:35|OSU Bandwidth test (1MB, Src) [default]|{}|foss-2023b|false|{}|1747178555.0|0|iris-143|1747178547.396256|4126687||OSUBandwidthTest %variant=default|1|null|2|null|2|null|batch|4938.43|MB/s|0|None|None|OSUBandwidthTest_f8f89a24|iris|OSUBandwidthTest_0|null|default
