result|job_completion_time|descr|env_vars|environ|exclusive_access|extra_resources|job_completion_time_unix|job_exitcode|job_nodelist|job_submit_time|jobid|modules|name|num_cpus_per_task|num_gpus_per_node|num_tasks|num_tasks_per_core|num_tasks_per_node|num_tasks_per_socket|partition|latency_value|latency_unit|latency_ref|latency_lower_thres|latency_upper_thres|short_name|system|unique_name|use_multithreading|variant
pass|2025-05-14T01:05:30|OSU Latency test (8192B, Src) [inter_node]|{}|foss-2023b|false|{}|1747177530.0|0|iris-135,iris-139|1747177524.5731866|4126654||OSULatencyTest %variant=inter_node|1|null|2|null|1|null|batch|4.62|us|0|None|None|OSULatencyTest_e5e4cb74|iris|OSULatencyTest_4|null|inter_node
pass|2025-05-14T01:05:34|OSU Latency test (8192B, Src) [diff_socket_same_node]|{}|foss-2023b|false|{}|1747177534.0|0|iris-142|1747177526.4468231|4126655||OSULatencyTest %variant=diff_socket_same_node|1|null|2|null|2|null|batch|11.81|us|0|None|None|OSULatencyTest_cab6c957|iris|OSULatencyTest_3|null|diff_socket_same_node
pass|2025-05-14T01:05:33|OSU Latency test (8192B, Src) [diff_numa_same_socket]|{"OMPI_MCA_rmaps_base_mapping_policy": "numa:PE=1", "OMPI_MCA_hwloc_base_binding_policy": "numa"}|foss-2023b|false|{}|1747177533.0|0|iris-135|1747177528.5070794|4126656||OSULatencyTest %variant=diff_numa_same_socket|1|null|2|null|2|null|batch|4.43|us|0|None|None|OSULatencyTest_362b6d20|iris|OSULatencyTest_2|null|diff_numa_same_socket
pass|2025-05-14T01:05:36|OSU Latency test (8192B, Src) [default]|{}|foss-2023b|false|{}|1747177536.0|0|iris-135|1747177532.5337832|4126658||OSULatencyTest %variant=default|1|null|2|null|2|null|batch|4.53|us|0|None|None|OSULatencyTest_b51639f0|iris|OSULatencyTest_0|null|default
pass|2025-05-14T01:15:49|OSU Latency test (8192B, Src) [inter_node]|{}|foss-2023b|false|{}|1747178149.0|0|iris-135,iris-139|1747178145.0786088|4126667||OSULatencyTest %variant=inter_node|1|null|2|null|1|null|batch|4.64|us|0|None|None|OSULatencyTest_e5e4cb74|iris|OSULatencyTest_4|null|inter_node
pass|2025-05-14T01:15:52|OSU Latency test (8192B, Src) [diff_socket_same_node]|{}|foss-2023b|false|{}|1747178152.0|0|iris-135|1747178146.9494157|4126668||OSULatencyTest %variant=diff_socket_same_node|1|null|2|null|2|null|batch|4.75|us|0|None|None|OSULatencyTest_cab6c957|iris|OSULatencyTest_3|null|diff_socket_same_node
pass|2025-05-14T01:15:51|OSU Latency test (8192B, Src) [diff_numa_same_socket]|{"OMPI_MCA_rmaps_base_mapping_policy": "numa:PE=1", "OMPI_MCA_hwloc_base_binding_policy": "numa"}|foss-2023b|false|{}|1747178151.0|0|iris-139|1747178148.9524198|4126669||OSULatencyTest %variant=diff_numa_same_socket|1|null|2|null|2|null|batch|1.89|us|0|None|None|OSULatencyTest_362b6d20|iris|OSULatencyTest_2|null|diff_numa_same_socket
pass|2025-05-14T01:15:54|OSU Latency test (8192B, Src) [same_numa]|{}|foss-2023b|false|{}|1747178154.0|0|iris-139|1747178150.8287306|4126670||OSULatencyTest %variant=same_numa|1|null|2|null|2|null|batch|1.88|us|0|None|None|OSULatencyTest_f802e61c|iris|OSULatencyTest_1|null|same_numa
pass|2025-05-14T01:15:57|OSU Latency test (8192B, Src) [default]|{}|foss-2023b|false|{}|1747178157.0|0|iris-135|1747178153.1080883|4126671||OSULatencyTest %variant=default|1|null|2|null|2|null|batch|4.62|us|0|None|None|OSULatencyTest_b51639f0|iris|OSULatencyTest_0|null|default
pass|2025-05-14T01:22:12|OSU Latency test (8192B, Src) [inter_node]|{}|foss-2023b|false|{}|1747178532.0|0|iris-135,iris-139|1747178528.6244986|4126678||OSULatencyTest %variant=inter_node|1|null|2|null|1|null|batch|4.63|us|0|None|None|OSULatencyTest_e5e4cb74|iris|OSULatencyTest_4|null|inter_node
pass|2025-05-14T01:22:17|OSU Latency test (8192B, Src) [diff_numa_same_socket]|{"OMPI_MCA_rmaps_base_mapping_policy": "numa:PE=1", "OMPI_MCA_hwloc_base_binding_policy": "numa"}|foss-2023b|false|{}|1747178537.0|0|iris-135|1747178532.5384653|4126680||OSULatencyTest %variant=diff_numa_same_socket|1|null|2|null|2|null|batch|1.82|us|0|None|None|OSULatencyTest_362b6d20|iris|OSULatencyTest_2|null|diff_numa_same_socket
pass|2025-05-14T01:22:24|OSU Latency test (8192B, Src) [default]|{}|foss-2023b|false|{}|1747178544.0|0|iris-143|1747178536.6986563|4126682||OSULatencyTest %variant=default|1|null|2|null|2|null|batch|11.94|us|0|None|None|OSULatencyTest_b51639f0|iris|OSULatencyTest_0|null|default
pass|2025-05-14T01:22:28|OSU Latency test (8192B, Src) [diff_socket_same_node]|{}|foss-2023b|false|{}|1747178548.0|0|iris-142|1747178530.4930143|4126679||OSULatencyTest %variant=diff_socket_same_node|1|null|2|null|2|null|batch|11.76|us|0|None|None|OSULatencyTest_cab6c957|iris|OSULatencyTest_3|null|diff_socket_same_node
pass|2025-05-14T01:22:29|OSU Latency test (8192B, Src) [same_numa]|{}|foss-2023b|false|{}|1747178549.0|0|iris-139|1747178534.415279|4126681||OSULatencyTest %variant=same_numa|1|null|2|null|2|null|batch|1.85|us|0|None|None|OSULatencyTest_f802e61c|iris|OSULatencyTest_1|null|same_numa
